PARADA,NOMBRE,COMENTARIO,TIPO,ZONA,LATITUD,LONGITUD,MUNICIPIO,CODIGO_BARRIO,ID_LINEA,SENTIDO,FECHA
2456,ANTONIA RGUEZ.SACRISTAN-ANTONIO RGUEZ.,"Antonia Rodríguez Sacristán, 31",EXTERIOR,A,40.37487894936541,-3.7438438986256015,MADRID,17,47,IDA,20240117
2456,ANTONIA RGUEZ.SACRISTAN-ANTONIO RGUEZ.,"Antonia Rodríguez Sacristán, 31",EXTERIOR,A,40.37487894936541,-3.7438438986256015,MADRID,17,516,IDA,20240117
2456,ANTONIA RGUEZ.SACRISTAN-ANTONIO RGUEZ.,"Antonia Rodríguez Sacristán, 31",EXTERIOR,A,40.37487894936541,-3.7438438986256015,MADRID,17,131,VUELTA,20240117
2457,ANTONIA RGUEZ.SACRISTAN-FCO.RGUEZ.,"Antonia Rodríguez Sacristán, 8",EXTERIOR,A,40.374713462361726,-3.744360381651932,MADRID,17,47,VUELTA,20240117
2457,ANTONIA RGUEZ.SACRISTAN-FCO.RGUEZ.,"Antonia Rodríguez Sacristán, 8",EXTERIOR,A,40.374713462361726,-3.744360381651932,MADRID,17,118,VUELTA,20240117
2457,ANTONIA RGUEZ.SACRISTAN-FCO.RGUEZ.,"Antonia Rodríguez Sacristán, 8",EXTERIOR,A,40.374713462361726,-3.744360381651932,MADRID,17,108,VUELTA,20240117
2457,ANTONIA RGUEZ.SACRISTAN-FCO.RGUEZ.,"Antonia Rodríguez Sacristán, 8",EXTERIOR,A,40.374713462361726,-3.744360381651932,MADRID,17,131,IDA,20240117
2457,ANTONIA RGUEZ.SACRISTAN-FCO.RGUEZ.,"Antonia Rodríguez Sacristán, 8",EXTERIOR,A,40.374713462361726,-3.744360381651932,MADRID,17,121,IDA,20240117
2458,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,"Antonia Rodríguez Sacristán, 13",EXTERIOR,A,40.37511532503344,-3.746308451071209,MADRID,17,121,VUELTA,20240117
2458,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,"Antonia Rodríguez Sacristán, 13",EXTERIOR,A,40.37511532503344,-3.746308451071209,MADRID,17,131,VUELTA,20240117
2458,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,"Antonia Rodríguez Sacristán, 13",EXTERIOR,A,40.37511532503344,-3.746308451071209,MADRID,17,47,IDA,20240117
2459,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,Antonia Rodríguez Sacristán frente Nº13,EXTERIOR,A,40.374944696533504,-3.746224110933078,MADRID,17,47,VUELTA,20240117
2459,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,Antonia Rodríguez Sacristán frente Nº13,EXTERIOR,A,40.374944696533504,-3.746224110933078,MADRID,17,121,IDA,20240117
2459,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,Antonia Rodríguez Sacristán frente Nº13,EXTERIOR,A,40.374944696533504,-3.746224110933078,MADRID,17,131,IDA,20240117
2460,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37715533807656,-3.745694838486771,MADRID,17,121,VUELTA,20240117
2460,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37715533807656,-3.745694838486771,MADRID,17,131,VUELTA,20240117
2460,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37715533807656,-3.745694838486771,MADRID,17,47,IDA,20240117
2461,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37687645590128,-3.7456328638867817,MADRID,17,47,VUELTA,20240117
2461,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37687645590128,-3.7456328638867817,MADRID,17,121,IDA,20240117
2461,AV.POBLADOS-AV.CARABANCHEL BAJO,Av los Poblados con Av Carabanchel Bajo,EXTERIOR,A,40.37687645590128,-3.7456328638867817,MADRID,17,131,IDA,20240117
2462,AV.POBLADOS-EUGENIA DE MONTIJO,Av los Poblados con  Eugenia de Montijo,EXTERIOR,A,40.37820586154196,-3.747638376510599,MADRID,17,47,IDA,20240117
